Survived,Sex,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Embarked_C,Embarked_Q,Title_1,Title_2,Title_3,Title_4,Title_5
0.0,0,28.318910256410255,0,0,7,0,0,1,0,1,0,0,0,0
1.0,0,30.0,0,0,9,0,0,0,0,1,0,0,0,0
0.0,0,28.0,0,0,10,0,1,0,0,1,0,0,0,0
0.0,0,23.0,0,0,13,0,1,0,0,1,0,0,0,0
1.0,1,21.0,0,0,77,1,0,0,0,0,1,0,0,0
0.0,0,23.0,0,0,7,0,0,0,0,1,0,0,0,0
0.0,0,55.0,1,0,59,1,0,1,0,1,0,0,0,0
0.0,0,21.0,0,0,8,0,0,0,0,1,0,0,0,0
0.0,0,41.0,0,0,13,0,1,0,0,0,0,0,0,1
0.0,1,32.326530612244895,0,4,25,0,0,0,0,0,0,1,0,0
0.0,1,50.0,0,0,28,1,0,1,0,0,1,0,0,0
0.0,0,26.0,0,0,7,0,0,0,1,1,0,0,0,0
0.0,0,21.0,0,0,7,0,0,0,0,1,0,0,0,0
1.0,0,32.0,0,0,8,0,0,0,0,1,0,0,0,0
1.0,1,17.360841747572817,0,0,7,0,0,0,1,0,1,0,0,0
0.0,0,28.318910256410255,0,0,7,0,0,0,0,1,0,0,0,0
0.0,0,19.0,0,0,7,0,0,0,0,1,0,0,0,0
0.0,0,18.0,0,0,7,0,0,0,0,1,0,0,0,0
0.0,0,24.0,0,0,8,0,0,0,0,1,0,0,0,0
0.0,0,32.5,1,0,30,0,1,1,0,1,0,0,0,0
0.0,0,45.0,0,0,26,1,0,0,0,0,0,0,0,1
1.0,0,30.0,1,0,57,1,0,1,0,1,0,0,0,0
0.0,0,28.318910256410255,1,0,14,0,0,1,0,1,0,0,0,0
0.0,0,25.0,0,0,7,0,0,0,0,1,0,0,0,0
1.0,0,3.0,1,1,18,0,1,0,0,0,0,0,1,0
0.0,0,28.318910256410255,0,0,7,0,0,1,0,1,0,0,0,0
0.0,0,10.0,3,2,27,0,0,0,0,0,0,0,1,0
0.0,1,31.0,1,0,18,0,0,0,0,0,0,1,0,0
0.0,0,30.0,1,1,26,0,1,0,0,0,0,0,0,1
1.0,1,22.0,0,0,7,0,0,0,0,0,1,0,0,0
0.0,0,18.0,0,0,8,0,0,0,0,1,0,0,0,0
0.0,0,28.318910256410255,0,0,7,0,0,0,0,1,0,0,0,0
0.0,0,20.0,0,0,9,0,0,0,0,1,0,0,0,0
0.0,0,24.5,0,0,8,0,0,0,0,1,0,0,0,0
0.0,0,28.318910256410255,0,0,7,0,0,0,0,1,0,0,0,0
1.0,1,26.0,0,0,7,0,0,0,0,0,1,0,0,0
0.0,0,17.0,0,0,8,0,0,0,0,1,0,0,0,0
0.0,1,37.0,0,0,9,0,0,0,0,0,1,0,0,0
0.0,0,16.0,0,0,10,0,1,0,0,1,0,0,0,0
1.0,1,30.0,0,0,12,0,0,0,0,0,1,0,0,0
0.0,1,18.0,0,0,7,0,0,0,1,0,1,0,0,0
0.0,1,14.0,0,0,7,0,0,0,0,0,1,0,0,0
0.0,0,24.0,2,0,31,0,1,0,0,1,0,0,0,0
0.0,0,34.5,0,0,7,0,0,0,1,1,0,0,0,0
0.0,0,16.0,1,3,34,0,0,0,0,1,0,0,0,0
0.0,0,28.318910256410255,0,0,7,0,0,0,0,1,0,0,0,0
0.0,0,35.0,0,0,7,0,0,0,0,1,0,0,0,0
0.0,0,46.0,0,0,79,1,0,1,0,1,0,0,0,0
0.0,0,16.0,0,0,26,0,1,0,0,1,0,0,0,0
0.0,0,24.0,0,0,7,0,0,0,0,1,0,0,0,0
1.0,1,17.0,0,1,16,0,0,0,0,0,1,0,0,0
1.0,1,22.0,0,1,61,1,0,1,0,0,1,0,0,0
0.0,0,27.0,0,0,8,0,0,0,0,1,0,0,0,0
0.0,0,62.0,0,0,26,1,0,0,0,1,0,0,0,0
0.0,0,43.0,0,0,6,0,0,0,0,1,0,0,0,0
1.0,0,25.0,1,0,55,1,0,1,0,1,0,0,0,0
1.0,1,17.360841747572817,0,0,7,0,0,0,1,0,1,0,0,0
0.0,0,67.0,1,0,221,1,0,0,0,1,0,0,0,0
0.0,0,25.0,0,0,13,0,1,0,0,1,0,0,0,0
1.0,1,17.360841747572817,0,0,7,0,0,0,1,0,1,0,0,0
0.0,0,28.318910256410255,0,0,7,0,0,0,1,1,0,0,0,0
0.0,0,71.0,0,0,34,1,0,1,0,1,0,0,0,0
1.0,0,28.318910256410255,0,0,8,0,0,0,0,1,0,0,0,0
0.0,0,36.0,0,0,7,0,0,0,0,1,0,0,0,0
1.0,0,30.0,0,0,12,0,1,1,0,1,0,0,0,0
1.0,1,1.0,1,1,16,0,0,0,0,0,1,0,0,0
1.0,0,32.0,0,0,56,0,0,0,0,1,0,0,0,0
1.0,1,42.9264705882353,1,0,89,1,0,1,0,0,0,1,0,0
0.0,0,57.0,0,0,13,0,1,0,0,1,0,0,0,0
0.0,0,38.0,0,0,7,0,0,0,0,1,0,0,0,0
0.0,1,44.0,1,0,26,0,1,0,0,0,0,1,0,0
1.0,1,19.0,0,0,30,1,0,0,0,0,1,0,0,0
